title,ingredients,method,Main ingredients,Cuisine,Course,Prep time,Cook time,Serve,Taste,Level of cooking,Veg/Non Veg
Prawn Massaman Curry-SK Khazana,[],"['Heat a non-stick pan. Add spring onion greens, garlic, galangal, lemongrass, coriander seeds and cumin seeds, mix and saute for 5 minutes. Transfer into a blender jar.', 'Add dried red chillies, peppercorns and some water blend to a fine paste.', 'Heat oil in a non-stick pan. Add 2-3 tablespoons prepared paste, mix and saute for 2-3 minutes.', 'Add salt, prawns and potatoes and mix well. Add coconut milk, stir and cook till the prawns are fully done. Add spring onion green strips and mix well.', 'Garnish with spring onion greens and serve hot.']",,Thai,Main Course Seafood,,16-20 minutes,4,Spicy,,Non Veg
Toto Jamaican Coconut Cake,[],"['Preheat oven to 180degC. Grease a cake tin with some butter and dust with some flour.', 'Mix together desiccated coconut, almond flour, baking soda, baking powder, nutmeg powder, all-spice powder and ginger powder in a mixing bowl.', 'Cream together coconut oil and palm sugar in another mixing bowl till creamy.', 'Add eggs and vanilla essence and beat well. Add the flour mixture and mix well.', 'Pour the batter into the prepared tin. Place the tin in the preheated oven and bake for 30-40 minutes. Remove from oven and cool.', 'Slice and serve.']",,Fusion,Desserts,,31-40 minutes,4,Sweet,,Non Veg
Rum and Raisin Cheesecake,[],"['Take raisins in another bowl. Add rum, mix and set aside for 30 minutes.', 'Take biscuits in a plastic zip-lock bag, seal and crush them with a rolling pin. Transfer into a bowl.', 'Add 2 tablespoons castor sugar and melted butter and mix well.', 'To prepare cheese cake mixture, take cream cheese in a third bowl. Add  1/4  cup castor sugar and whisk with an electric beater. Add coffee decoction and whisk well.Add rum and raisin mixture and mix.', 'Put  1/2  the cream cheese mixture into another bowl. Add  1/2  the whipped cream and fold in. Add to remaining cream cheese mixture along with remaining whipped cream and fold in well.', 'Fill a piping bag fitted with a medium star nozzle with the cream mixture. Line individual shot glasses with biscuit-butter mixture and pipe out cream mixture over them.', 'Chill and serve.']",,Fusion,Desserts,,0-5 minutes,4,Sweet,,Veg
Egg Puff - SK Khazana,[],"['Heat oil and butter in a non-stick pan. Add cumin seeds and let the seeds change colour.', 'Add onions, mix and saute till lightly browned. Add tomatoes, mix and cook soft and pulpy.', 'Add chilli powder and coriander powder, mix well and cook for 1-2 minutes.', 'Add ginger-garlic paste and mix well. Add some water, mix and cook till the oil separates.', 'Add garam masala powder and 1 tablespoon coriander leaves and mix well. Add chaat masala powder and remaining coriander leaves and mix well. Remove from heat and set aside.', 'Preheat oven to 180o C. Grease a baking tray with some butter.', 'Roll out pastry dough into a slightly thick sheet. Cut into rectangles and place a portion of masala on one end of each rectangle.', 'Halve eggs, place one half over the masala on each rectangle Apply water on edges, bring the other end over and press the edges to seal.', 'Grease a baking tray and place these puffs on it, brush some butter over them. Put the tray in the preheated oven and bake for 15-20 minutes.', 'Serve hot with tomato ketchup.']",,Fusion,Snacks and Starters,,41-50 minutes,4,Spicy,,Non Veg
Balsamic Garlic Grilled Mushroom Skewers-SK Khazan,[],"['Mix together mixed capsicums, mushrooms, garlic, thyme, balsamic vinegar and soy sauce in a bowl. Set aside to marinate for 10-15 minutes.', 'Skewer the mushrooms and mixed capsicums alternately onto satay sticks.', 'Heat olive oil in a non-stick grill pam. Keep the skewers in the pan and grill, rotating the skewers, till grill marks appear on the mushrooms and capsicums.', 'Garnish with coriander sprig and serve immediately with onion rings and lemon slices.']",,Fusion,Snacks and Starters,,0-5 minutes,4,Sour,,Veg
Sindhi Aloo Pyaaz ke Pakode,[],"['Heat sufficient oil in a kadai.', 'Put potato in a bowl, add onions, gram flour, green chillies, ginger, cumin seeds, coriander seeds, fennel seeds, soda bicarbonate, salt, turmeric powder and coriander leaves and mix well. Add one cup water and mix well to make thick mixture.', 'Drop spoonsful of the mixture into hot oil and deep-fry, stirring occasionally, till three fourth done on all the sides. Drain on absorbent paper.', 'Break them into smaller pieces and refry in the same oil till crisp and golden. Drain on absorbent paper.', 'Arrange them on a serving plate and serve hot.']",,Sindhi,Snacks and Starters,,41-50 minutes,4,Mild,,Veg
Bahala Bhath,[],"['Add salt to the rice and mix, mashing it well. Heat oil in a small pan. Add mustard seeds and let them splutter.', 'Add red chillies, urad dal, ginger, green chilli, curry leaves and asafoetida. Add this tempering to the rice and mix well. Add yogurt and mix. Add chilled milk and continue to mix.', 'Add cucumber, raw mango and grapes and mix well. Chill in a refrigerator. Garnish with coriander leaves and serve.']",,"Kerala, Karnataka, , ,",Rice,,11-15 minutes,4,Sour,,Veg
Manchurian Fried Rice Bowl,[],"['Take cauliflower in a large bowl, add carrot, grated cabbage and salt and mix well. Set aside for 10 minutes.', 'Heat sufficient oil in a wok', 'Place a muslin cloth over another bowl, put the vegetable mixture into it, gather the edges of the cloth and squeeze tight to remove excess water.', 'Transfer the squeezed vegetables into another large bowl, add green chillies, ginger, salt, white pepper powder, soy sauce, refined flour, cornflour and mix well.', 'Divide the mixture into equal portions and shape them into balls.', 'Slide these balls into hot oil and deep-fry till golden brown and crisp. Drain on absorbent paper.', 'To make the gravy, heat oil in a non-stick wok, add spring onion bulb, green chillies, garlic, ginger and, celery, mix and and saute for 1-2 minutes.', 'Add soy sauce, red chilli sauce and vegetable stock and mix well. Add salt, crushed black peppercorns and mix well. Allow the mixture to come to a boil. Add corn flour slurry, mix well and cook till the gravy thickens.', 'Add the fried vegetable balls and mix, cook for 5-7 minutes. Add spring onion greens and mix well. Take the pan off the heat.', 'Heat oil in another non-stick wok to make fried rice. Add spring onion bulbs, garlic and ginger and saute well.', 'Add carrot and French beans, mix and saute on high heat for 2-3 minutes.', 'Add rice and toss till well combined. Add salt, crushed back peppercorns and soy sauce and toss well.', 'Add vinegar and spring onion greens, mix and take the pan off the heat.', 'Transfer some rice into each serving bowl, pour the Manchurian gravy on top, garnish with spring onion green curls and serve immediately.']",,Indo-Chinese,Main Course Vegetarian,,26-30 minutes,4,Spicy,,Veg
Paneer Lasooni Methi,[],"['Take yogurt in a bowl, add ginger-garlic paste, garam masala powder, turmeric powder, coriander powder, crushed black peppercorns, salt, gram flour, lemon juice, fresh cream and saffron milk and mix well.', 'Add cottage cubes to this mixture, mix well and set aside.', 'Heat oil in a non-stick pan, add cumin seeds, chopped garlic and onion paste, mix and saute till onion turns a light brown.', 'Add fenugreek leaves and mix well. Add salt and mix well.', 'Add the cottage cheese mixture and mix well. Add some water and mix well. Cover and cook for 5-6 minutes.', 'Transfer into a serving bowl and serve warm.']",,Indian,Main Course Vegetarian,,16-20 minutes,4,Mild,,Veg
Red Curry Chicken Pasta,[],"['To make red curry paste, blend together red chillies, lemon grass, shallots, 4-5 garlic cloves, galangal, coriander seeds, cumin seeds, white peppercorns and salt to a smooth paste.', 'Heat oil and butter in a non-stick pan, add the remaining garlic, prepared red curry paste and saute for a minute. Add chicken strips and 1 cup chicken stock and cook till done.', 'Add penne pasta and mix well. Add coconut milk, remaining chicken stock, red chilli powder, mix well and cook for 2-3 minutes.', 'Add torn basil leaves, lemon juice and lemon zest to the pasta and salt. Mix well.', 'Serve hot.']",,Fusion,Noodles and Pastas,,11-15 minutes,4,Spicy,,Non Veg
Stuffed Crab-SK Khazana,[],"['Heat oil in a non-stick pan. Add garlic and saute till fragrant.', 'Add celery and mix well. Add red chilli paste and honey, mix and saute till the oil separates.', 'Add crushed chicken stock cube, 1 tablespoon spring onion greens, mix and cook for a minute.', 'Add crab meat, mix and cook for 2 minutes. Add  1/4  cup water, mix and cook for a minute. Add 1 teaspoon vinegar, salt and cornflour slurry and mix well.', 'Add 1 tablespoon spring onion greens and mix well. Add crushed peppercorns and remaining vinegar mix. Remove from heat and set aside.', 'Arrange crab shell and claws on a serving plate. Put the cooked crab meat mixture in the shell, garnish with sesame seeds and coriander leaves and serve immediately.']",,Fusion,Main Course Seafood,,16-20 minutes,4,Spicy,,Non Veg
Coconut Prawn Noodle,[],"['Combine 1 teaspoon chopped ginger and green chillies in a grinder jar and grind into a coarse paste. Add some spring onion with greens, chopped coriander and 1 tablespoon oil and grind again. Add lemon juice and grind again. Set aside.', 'Heat remaining oil in a non-stick wok. Add garlic and remaining ginger and saute well.', 'Add lemon grass and mix well. Add prawns and mix well.', 'Add coriander powder, mix and saute. Add salt and mix well.', 'Add ground paste and mix. Add noodles and mix well.', 'Add coconut milk and mix well. Add remaining spring onions and adjust salt. Toss to mix and cook for a minute.', 'Serve hot.']",,"Fusion, , , ,",Noodles and Pastas,,11-15 minutes,4,Mild,,Non Veg
Koyla Chicken,[],"['Remove skin, wash and cut chicken into eight pieces on the bone. Grind ginger and garlic to a fine paste. Blanch tomatoes in boiling water for two to three minutes.', 'Drain. Peel the tomatoes and puree them in a blender. Dry roast cashewnuts and coarsely grind with a mortar and pestle. Marinate the chicken pieces in ginger-garlic paste, garam masala powder, red chilli powder and salt for an hour.', 'Heat butter in a kadai. Add the marinated chicken and saute for two minutes. Add slit green chillies and continue to saute for a minute. Add tomato puree and half a cup of water and cover and cook on medium heat for fifteen minutes or till almost done.', 'Add crushed cashewnuts and cover and simmer for three to four minutes or till chicken is tender. Add lemon juice and coriander leaves and cook for a minute or till oil leaves the masala.', 'Stir in the fresh cream and mix gently. Remove from heat. Place coal on open flame and heat till it becomes red hot.', 'Remove from heat and put the coal in a small steel bowl, place the bowl over the chicken, pour a tablespoon of warm ghee over the coal. As soon as it begins to smoke, cover the kadai with a lid.', 'Open the lid after ten minutes, remove bowl with coal and serve hot.']",,Hyderabadi,Main Course Chicken,,31-40 minutes,4,Spicy,,Non Veg
Jamun Kala Khatta,[],"['Blend together jamuns, black salt, roasted cumin powder, castor sugar, orange juice, lemon juice and ice cubes to a smooth mixture.', 'Put lemon slices in individual serving glasses and pour the jamun mixture.', 'Serve chilled.']",,Indian,Beverages,,0-5 minutes,4,Sweet & Sour,,Veg
Date and Walnut Halwa - SK Khazana,[],"['Heat ghee in a non-stick pan. Add dates and saute for 2 minutes.', 'Add milk and continue to cook until dates are soft and pulpy.', 'Add khoya, walnuts, sugar and green cardamom powder and mix.', 'Cook, stirring continuously, for 10-15 minutes or till almost dry.', 'Transfer into serving bowls, garnish with silver varq and serve hot.']",,Indian,Mithais,,21-25 minutes,4,Sweet,,Veg
Bombay Masala Pav-SK Khazana,[],"['Cut pav into small pieces.', 'Heat butter in a non-stick pan. Add ginger-garlic paste and saute well. Add onions, mix well and saute till browned.', 'Add tomatoes and mix. Add salt, mix well and cook till the tomatoes turn soft and pulpy.', 'Add chilli paste and chilli powder and mix. Add potato and mix. Add pav bhaji masala, capsicum and some water, mix well and cook for 1-2 minutes.', 'Add pav pieces and mix. Add lemon juice and coriander leaves, mix well and cook for a minute.', 'Serve hot with lemon wedges.']",,Indian,Snacks and Starters,,16-20 minutes,4,Spicy,,Veg
Marzipan,[],"['Take almond powder in a bowl. Sift together icing sugar and powdered sugar into the bowl, add lemon juice and egg, mix well with your hand and knead into a soft dough.', 'Divide the dough into 3 equal portions and place each portion in a different bowl. Add a drop of red colour to one bowl, a drop of green to the 2nd bowl and a drop of orange to the 3rd bowl and knead once again.', 'Stuff some small portions of the coloured dough in different combination into moulds.', 'Demould and place them on a serving plate and serve or store in an airtight container and use as required.']",,German,Snacks and Starters,,0-5 minutes,4,Sweet,,Non Veg
Chicken Tikka Risotto,[],"['Take hung yogurt in a bowl. Add ginger-garlic paste, chili powder, black salt, salt and gram flour and mix. Add mustard oil and mix well.', 'Add chicken and mix. Add lemon juice and mix well. Set aside to marinate for 15-20 minutes.', 'Heat oil in a deep non-stick pan. Add garlic and saute for 30 seconds. Add cumin seeds, green cardamoms and bay leaves and saute for 10 seconds.', 'Add peppercorns and cloves and saute. Add onion and saute till translucent. Add Arborio rice and saute for 1 minute.', 'Add 1 cup chicken stock, mix and cook till it evaporates.Add remaining stock gradually and salt, mix and cook till rice is done.', 'Insert 1 green capsicum piece, 1 chicken piece, 1 yellow capsicum piece, 1 chicken piece, 1 red capsicum piece, 1 chicken piece and 1 green capsicum piece on each satay stick.', 'Heat an electric griller and grease it with some oil. Place the satay sticks and grill, turning the sticks a few times, till golden and cooked from all sides.', 'Add cream cheese to risotto, mix and cook for 1 minute. Add butter, mix and cook for 1 minute.', 'Put risotto in a serving bowl. Place chicken skewers on top and serve hot.']",,Fusion,Rice,,26-30 minutes,4,Spicy,,Non Veg
Mini Tostadas,[],"['For the salsa, roast corn kernels in a pan on high heat to scorch them slightly. Add olive oil and onion and saute till translucent.', 'Remove from heat and transfer into a bowl. Set aside to cool.', 'Place the capsicums and cottage cheese in a separate bowl. Add crushed peppercorns, paprika, coriander leaves, salt and lemon juice and mix well.', 'Add the sauteed corns and balsamic vinegar. Adjust salt and toss to mix.', 'To assemble, place tostadas on a plate and place a piece of lettuce leaf on each. Spoon some salsa on each tostada.', 'Garnish with pomegranate kernels and parsley sprigs and serve immediately.']",,Fusion,Snacks and Starters,,11-15 minutes,4,Tangy,,Veg
Mini Papads With Coconut Relish,[],"['Slice lemon grass root and put into a mortar. Chop fresh red chillies and add. Crush garlic and add along with fish sauce and salt and crush everything together with a pestle.', 'Add brown sugar and crush some more. Add coconut and lemon juice and crush well. Serve with fried mini papads.']",,Indian,Snacks and Starters,,0-5 minutes,4,Mild,,Veg
Murgh Dhaniya Seekh - SK Khazana,[],"['Put chicken mince in a food processor, add onion, coriander leaves, mint leaves, green chillies, garlic paste, salt, garam masala powder, butter, lemon juice and ginger paste and process to a fine paste. Transfer the mixture into a bowl.', 'Grease your palms with oil. Divide the mixture into equal portions. Take each portion in your palms and shape into a cylindrical shape. Insert 2 skewers into each cylinder and roll to form a seekh.', 'Drizzle oil in a grill pan, place the seekh skewers in it and grill on medium heat, rotating the skewers, till the chicken is cooked and golden brown grill marks appear on both the sides.', 'Place the prepared seekhs on a plate and brush with butter.Garnish with onion rings, lemon slice and mint sprig and serve hot with bowl of green chutney.']",,Indian,Snacks and Starters,,11-15 minutes,4,Mild,,Non Veg
Strawberry Fairy Cakes,[],"['Preheat oven to 190C.', 'Break the eggs into a bowl, add strawberry essence and beat with an electric hand blender till fluffy.', 'Take butter and castor sugar in a large mixing bowl and beat with the same hand blender till the mixture is fluffy.', 'Sift flour and baking powder together over the butter-sugar mixture. Add the egg mixture and mix using cut and fold method. Add a little milk and mix well.', 'Put the batter into a piping bag, Snip of the pointed edge and pipe the batter into the muffin moulds.', 'Keep them on a baking tray. Place the tray in the preheated oven and bake for 25 minutes.', 'When they have cooled a little, remove from the moulds and place them on a cooling tray and let them cool for atleast  1/2  hour', 'Slice strawberries thinly for garnishing.', 'To make the frosting take butter in another mixing bowl, add powdered sugar (break lumps if any) and beat with a electric hand blender. Add strawberry jam and a few drops of pink colour and continue to blend.', 'When soft and well mixed, spoon into a piping bag with a star nozzle.', 'Pipe strawberry icing on top of each cup cake making any design that you choose to.', 'Further garnish them with strawberry slices or chop the strawberries and sprinkle them over the icing. Sprinkle silver balls on top.', 'Serve.']",,Fusion,Desserts,,21-25 minutes,4,Sweet,,Non Veg
Fish in Dill and Tomato Sauce,[],"['Heat oil in a non-stick pan.', 'Place fish pieces on a plate, add fish sauce, crushed peppercorns and refined flour and rub the mixture over the fish pieces till they are well coated.', 'Place them in the pan and shallow-fry, turning sides, till they are lightly browned all over. Drain on absorbent paper.', 'To make sauce, heat oil in another non-stick wok, add onions and garlic and saute till lightly browned. Add tomatoes and saute till soft.', 'Add chicken stock, fish sauce and sugar and cook for five minutes.', 'Add fried fish, spring onion, dill leaves and coriander leaves and mix well.', 'Place only the fried fish on a serving plate and pour the sauce over it. Garnish with peanuts and serve immediately.']",,Thai,Main Course Seafood,,21-25 minutes,4,Mild,,Non Veg
Stuffed Rice Fritters,[],"['Add the salt, black pepper powder, refined flour and milk to the left over rice. Mix well. Add the fresh bread crumbs and mix well. Set aside in the refrigerator to chill.', 'Divide the rice mixture into equal portions and shape them into balls. Insert a cheese cube into the rice ball, enclose it properly and then flatten it slightly.', 'In a few rice balls, insert the filling of chopped onions. Shape these into perfect round balls.', 'Heat sufficient oil in a non-stick kadai. Deep fry the cheese stuffed fritters and onion stuffed fritters till golden and crisp. Remove and drain on absorbent paper.', 'Serve hot.']",,Fusion,Snacks and Starters,,26-30 minutes,4,Mild,,Veg
Gulkand Sitaphal Milkshake,[],"['Blend together milk, custard apple pulp, candied rose petals and ice cubes.', 'Pour into 4 glasses. Drizzle rose syrup. Garnish with the rose petals and serve chilled.']",,"Fusion, , , ,",Beverages,,0-5 minutes,4,Mild,,Veg
Chana Puri,[],"['Pound the ginger and garlic to a fine paste. Drain the split Bengal gram, add two and half cups of water and salt and cook till done.', 'Drain and reserve the cooking liqueur. Mix together the coriander, cumin, red chilli, turmeric and dried mango powders.', 'Dry roast the cumin seeds and dried pomegranate seeds separately. Cool and grind them together to a powder. Heat one tablespoon of oil in a non-stick kadai. Add the green chillies and ginger-garlic paste. Stir-fry briefly.', 'Add the mixed spice powder and stir-fry for half a minute. Stir in quarter cup of the reserved cooking liqueur and cook for two minutes.', 'Add the cooked grams, salt, half a cup of the reserved cooking liqueur and cook on high heat for three to four minutes, stirring occasionally.', 'Top it with the tomato, sprinkle garam masala powder, roasted pomegranate seed-cumin powder. Heat the remaining oil and pour over the prepared grams. Stir well and adjust the seasoning.', 'For puris, knead the flour and semolina with salt and enough water to a semi soft dough. Cover with a damp cloth and rest for half an hour.', 'Divide into twelve equal portions and roll out each portion into a puri. Heat oil in a non-stick kadai and deep fry the puris on medium heat till golden.', 'Drain on absorbent paper. Serve hot with the chana.']",,Punjabi,Snacks and Starters,,31-40 minutes,4,Mild,,Veg
Kachche Kele aur Hare Matar ki Tikkiyan,[],"['Heat 1 tablespoon oil in a non-stick pan. Add ginger and green chillies and saute for 2 minutes. Add this to the grated banana and set aside.', 'Add green peas in the same pan and saute for a minute. Transfer this into a grinder jar and grind coarsely.', 'Transfer ground peas into another bowl. Add sugar, salt, chaat masala, lemon juice. Chop mint leaves and add alongwith chopped coriander and mix well.', 'Mix the mashed banana and sauteed ginger and green chillies well. Add salt, red chilli powder, garam masala powder and mix well. Add 2 tablespoons semolina and mix well.', 'Heat oil in a non-stick pan.', 'Divide banana mixture into equal portions. Make a well in each portion and stuff with green pea mixture. Gather the edges, seal and shape into tikkis.', 'Combine  1/4  cup semolina and asafoetida in a bowl and mix well. Coat the tikkis in this mixture and place them on the pan. Shallow-fry, turning sides, till both sides are golden and crisp. Drain on absorbent paper.', 'Transfer onto a serving plate and serve hot.']",,Indian,Snacks and Starters,,11-15 minutes,4,Mild,,Veg
Banana French Toast,[],"['Peel and grate the ripe bananas.', 'Add marmalade and mix with a hand blender. Break eggs into a bowl, add powdered sugar and mix with the hand blender till well blended. If you wish you can add a few drops of vanilla essence and mix. Add milk and blend again.', 'Spread the banana mixture over one bread slice. Place another slice over it.', 'Heat a pan. Add half a tablespoon of butter. Dip the sandwich in the egg mixture and place it on the hot pan and cook on medium heat.', 'When one side is done turn it over and fry the second side, using more butter.', 'Similarly prepare the other sandwiches.', 'Serve hot generously dribbled with maple syrup.']",,American,Snacks and Starters,,11-15 minutes,4,Sweet,,Non Veg
Apple Relish,[],"['Peel, core, seed and roughly chop apples.', 'Heat a non-stick pan. Add apples, brown sugar, apple juice and cinnamon. Mix well, cover and cook for 20-25 minutes.', 'Remove cover and mix well. Cover again and cook for another 5-10 minutes.', 'Serve or store in an airtight container.']",,Fusion,"Pickles, Jams and Chutneys",,31-40 minutes,4,Sweet,,Veg
Paella With Tofu,[],"['Drain the soaked rice and set aside.', 'Heat two tablespoons olive oil in a deep pan. Add onion and saute till translucent. Add tomatoes and saute for two minutes.', 'Add red chilli powder, turmeric powder and saffron and mix. Add vegetable stock, salt and rice and mix again. Cook till rice is half done.', 'Meanwhile heat the remaining olive oil in another pan and add green peas, red capsicum, green capsicum and tofu and toss till they are lightly browned and crunchy.', 'Add these to the rice and cook till the rice is completely done.', 'Serve hot garnished with coriander leaves and lemon wedges.']",,Spanish,Rice,,21-25 minutes,4,Spicy,,Veg
Chakna Bhel,[],[],"Roasted peanuts, Roasted chana, Onion, Tomato, Masala dal, Pomegranate pearls, Carrot, Beetroot, Amchur, Chaat masala, Green chutney, Date and tamarind chutney",Indian,Snack and starter,10-15 minutes,0 minutes,4,Savoury,Easy,Veg
Mini Mint Pavlova with Mango,[],"['Preheat oven at 130oC. Place a butter paper on a baking tray.', 'Separate egg whites from yolks and take the whites in a bowl. Beat with the help of an electric beater till the whites are foamy. Gradually add sugar and whisk until it forms soft peaks.', 'Add mint essence and vinegar. Sift cornstarch into it and add edible colour. Fold lightly till well blended.', 'Divide the egg white mixture into four equal portions and place it onto the butter paper, put the tray in the preheated oven and bake for 1 hour.', 'Top with whipped cream and mango and serve garnished with mint sprig.']",,American,Desserts,,1-1.30 hour,,Sweet,,Non Veg
Chicken Xacuti,[],"['Heat one tablespoon of oil in a pan and lightly brown coconut and transfer into a mixer jar. Add garlic cloves.', 'Dry roast red chillies, cumin seeds, coriander seeds, black peppercorns, fennel seeds, carom seeds, poppy seeds, cloves, cinnamon and star anise till fragrant. Add it to the coconut in the jar.', 'Add turmeric powder and a little water and grind to a smooth paste. Heat the remaining oil in a deep pan and saute onions till well browned. Add chicken and saute on high heat for two to three minutes.', 'Add salt and mix. Add the masala paste and stir well. Add two cups of water and stir. Add tamarind pulp and mix. Grate some nutmeg (about  1/4  teaspoon) and add. When the mixture comes to a boil, reduce heat, cover and cook for about thirty minutes or till t', 'Serve hot with boiled Goan red rice.']",,Goan,Main Course Chicken,,41-50 minutes,4,Spicy,,Non Veg
Mango Lassi,[],"['Transfer mango pulp into a blender. Add sugar and blend. Add yogurt and blend again. Add crushed ice and blend to a smooth mixture.', 'Take serving glasses. Put chocolate sauce in a squeezy bottle. Squeeze the sauce on the inner sides of the glasses in stripes. Pour lassi and fill up the glasses.', 'Garnish with some more chocolate sauce and top with pistachio slivers.', 'Serve chilled.']",,Punjabi,Beverages,,0-5 minutes,4,Sweet,,Veg
Baghare Baingan,[],"['Wash brinjals and make slits along the length taking care that the brinjal is held together at the stem. .Dry roast onions on a tawa (griddle) till they turn lightly brown and soften.', 'Dry roast together coriander seeds, sesame seeds, peanuts, cumin seeds, poppy seeds, dry coconut and fenugreek seeds till they begin to change colour and give out a nice aroma.', 'Grind together roasted onions, roasted spices, ginger, garlic, salt, turmeric powder, red chilli powder and jaggery or sugar to a very fine paste. Add tamarind pulp and mix well. Stuff this masala into the slit brinjals and reserve the remaining.', 'Heat olive oil in a kadai (wok), add curry leaves and saute for a minute. Add the stuffed brinjals and saute for about ten minutes. Add the reserved masala and mix gently. Add two cups of water, cover and cook over low heat till the brinjals are fully coo', 'Serve hot.']",,Hyderabadi,Main Course Vegetarian,,11-15 minutes,4,Spicy,,Veg
Churros,"['1 cup refined flour (maida)', '3 tablespoons oil + to deep fry', '2 tablespoons sugar', ' 1/2  teaspoon baking powder', '3 tablespoons icing sugar', ' 1/2  teaspoon cinnamon powder', '1 cup castor sugar', 'Chocolate sauce, as required']","['Heat 1 cup water with 3 tablespoons oil in a non-stick pan. Add sugar and stir till sugar dissolves. When the water is hot switch off heat.', 'Add baking powder to refined flour and mix. Add this to hot water and mix fast till it forms a dough. Put the dough in a bowl.', 'Heat sufficient oil in a pan.', 'Mix icing sugar and cinnamon powder in a bowl.', 'Put the dough in a piping bag fitted with a big star nozzle and pipe directly into hot oil, cutting off at every 2 inch and deep fry on medium heat till light golden.', 'Spread castor sugar in a plate.  Drain churros and roll in castor sugar.', 'Arrange them on a serving plate with a bowl of chocolate sauce.', 'Sprinkle icing sugar and cinnamon powder over the churros. Serve hot.']",,Spanish,Snacks and Starters,,11-15 minutes,4,Sweet,,Veg
Oven Baked Fish With Spicy Harissa,[],"['Place yellow capsicum, green capsicum, red capsicum, French beans, carrot and onion in a baking dish. Add the garlic cloves and babycorns. Place lemon slices on top. Put the red chillies in a mixer. Add coriander seeds, caraway seeds, carom seeds, salt, onion and a little water and grind to a smooth paste. Preheat the oven to 200degC - 225degC. Slit the pomfret from one side without cutting through. Turn the pomfret over and slit it from the opposite side without cutting through.', 'This will create a pocket on either side. Put some of the ground paste in these pockets. Add some of the remaining paste to the vegetables in the baking dish. Sprinkle some salt and one tablespoon of olive oil. Place the stuffed fish over the vegetables. Sprinkle the remaining olive oil over the fish and smear the remaining ground paste on the top. Cover the dish with aluminium foil and place it in the preheated oven. Bake for thirty to thirty five minutes. Serve hot.']",,"Moroccan, , , ,",Main Course Seafood,,31-40 minutes,4,Spicy,,Non Veg
Cabbage Chana Dal,[],"['Heat oil in a non-stick pan and add mustard seeds. Once they start to splutter, add cumin seeds. When cumin seeds change colour, add asafoetida and curry leaves and saute for a few seconds.', 'Add split Bengal gram and saute for two to three minutes.', 'Add turmeric powder, red chilli powder and coriander-cumin powder and mix well.', 'Add cabbage and mix well. Reduce heat and cook for two to three minutes.', 'Add salt and sugar and mix well.Cover and cook till both cabbage and Bengal gram are completely cooked.', 'Transfer into a serving bowl, garnish with coconut and serve hot.']",,Indian,Main Course Vegetarian,,21-25 minutes,4,Mild,,Veg
Spiced Kedgeree,[],"['Heat oil in a thick bottom shallow non stick pan, add mustard seeds, cumin seeds.', 'Chop onion in a chopper. When the seeds splutter, add onion and saute till transluscent. Add garlic and ginger and saute. Add turmeric powder, vegetable stock, lime leaves, green chillies and garam masala powder and mix.', 'Add 2 cups of water. Drain and add rice along with salt and mix well. Cover and cook till half done. Add fish pieces, cream and mix. Quarter the eggs and coat them with red chilli powder.', 'Transfer the kedgeree into a serving bowl, garnish with lemon wedges, egg slices and coriander leaves and serve.']",,Fusion,Rice,,21-25 minutes,4,Spicy,,Non Veg
Masala Meat Burger,[],"['To make the dip, dry roast cumin seeds in a non-stick pan till dark brown and put into a bowl.', ""Put mutton mince into a mixer jar, add red chilli powder, bird's eye chillies, ginger-garlic paste and meat masala powder. Break an egg and add."", 'Roughly chop coriander and add and grind everything till smooth. Transfer into another bowl. Add onion and mix well. Add salt and mix well.', 'Heat sufficient oil in another non-stick pan.', 'Divide the mince mixture into equal portions, shape them into balls, flatten to make tikkis. Shallow-fry the tikkis in hot oil, turning sides, till the mutton is cooked and the tikkis are golden and crisp on both sides.', 'Grind roasted cumin seeds to a fine powder in a mixer. Reserve some of the powder in a small bowl. Add garlic, ginger, hung yogurt, salt and lemon juice and grind further till smooth. Transfer into a freshbowl and sprinkle reserved cumin powder over it.', 'Halve whole wheat burger buns.', 'Break remaining egg into a bowl and whisk well. Drizzle the egg over each tikki in the pan and cook till the egg is done.', 'Heat a non-stick tawa, place the burger buns on it and toast till the underside of the buns are lightly browned.', 'Place 2-3 iceberg lettuce leaves on the roasted side of each bun, place 3 tomato slices over them, sprinkle salt, place a tikkiover them. Top with a spoonful of dip and cover with the remaining halves. Arrange on a serving plate and serve immediately.']",,Fusion,Snacks and Starters,,31-40 minutes,4,Mild,,Non Veg
Spinach Fried Rice,[],"['Heat oil in a non-stick pan, add garlic and saute till fragrant. Add sesame seeds and green chillies, mix and saute till the seeds pop. Transfer the mixture into a bowl and set aside.', 'In the same pan, add carrot, French beans, cabbage, soy sauce, vinegar and crushed peppercorns, mix well and saute for 1-2 minutes. Add salt and mix. Add basmati rice and toss.', 'Roughly chop spinach leaves and spring onions. Reserve some spring onion greens for garnishing and add the rest to the pan along with spinach leaves and toss well. Add spinach puree, mix well and let it get heated through.', 'Transfer into a serving bowl, garnish with reserved spring onion greens and sauteed garlic-sesame-chilli mixture and serve hot.']",,Fusion,Rice,,11-15 minutes,4,Mild,,Veg
